data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9835498,729,SUD19202,19202,"10 February 2023",2023,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,Khartoum,Omdurman,,Omdurman,15.6573,32.4739,1,Twitter,"New media","On 10 February 2023, Resistance Committees staged a protest in Omdurman (Omdurman, Khartoum), denouncing the framework agreement signed by FFC and SAF leaders and the political process they announced to reach a full agreement. [size=no report]",0,1676309785,SDN
9835506,729,SUD19210,19210,"10 February 2023",2023,1,Battles,"Armed clash","Military Forces of Sudan (2019-)",,1,"Darfur Communal Militia (Sudan)",,4,14,"Northern Africa",Sudan,"Central Darfur","Gharb Jabal Marrah",,Guldo,13.1314,24.1513,2,"Alintibaha; Radio Dabanga; Sudan Tribune",National,"On 10 February 2023, Central Darfur governor convey guards (SAF) clashed with militiamen (coded as Darfur communal militia) west Guldo (Gharb Jabal Marrah, Central Darfur). Three soldiers were wounded but there were no fatalities. The motive behind the clash is unknown.",0,1676309785,SDN
9835473,729,SUD19177,19177,"09 February 2023",2023,1,Protests,"Peaceful protest","Protesters (Sudan)","CCSD: Central Committee of Sudan Doctors; Health Workers (Sudan)",6,,,0,60,"Northern Africa",Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,1,"Democrat (Sudan)",National,"On 9 February 2023, doctors responded to call made by CCSD to demonstrate in front of Council of Medical Specialties in Khartoum (Khartoum, Khartoum), refusing the increment in the training and registration fees. [size=no report]",0,1676309785,SDN
9835474,729,SUD19178,19178,"09 February 2023",2023,1,Protests,"Excessive force against protesters","Protesters (Sudan)","Resistance Committees (Sudan)",6,"Police Forces of Sudan (2019-)","Military Forces of Sudan (2019-) Abu Tira",1,16,"Northern Africa",Sudan,Khartoum,Omdurman,,Omdurman,15.6573,32.4739,1,"Al Taghyeer (Sudan); Democrat (Sudan); Radio Dabanga; Sudan Akhbar; Sudan Tribune; Twitter","New media-National","On 9 February 2023, demonstrators responded to call made by Resistance Committees to demonstrate in Omdurman (Omdurman, Khartoum), denouncing military coup and economic deterioration, and demanding free health, and education. Security forces (presumed Police and Abu Tira) fired teargas canisters to disperse the crowd. A demonstrator was killed by a direct teargas canister shot in the head. [size=no report]",1,1676309785,SDN
9835494,729,SUD19198,19198,"09 February 2023",2023,1,"Strategic developments","Looting/property destruction","Darfur Communal Militia (Sudan)",,4,"Civilians (Sudan)",,7,47,"Northern Africa",Sudan,"North Darfur","As Serief",,"El Sireaf",13.957,23.3952,1,"Radio Dabanga",National,"Property destruction: On 9 February 2023, militiamen (coded as Darfur communal militia) set fire on Al-Rayyan Intermediate School in El Sireaf (As Serief, North Darfur). Three classrooms including the tools inside it were burned.",0,1676309785,SDN
9835495,729,SUD19199,19199,"09 February 2023",2023,1,Protests,"Peaceful protest","Protesters (Sudan)",,6,,,0,60,"Northern Africa",Sudan,"Red Sea",Agig,,Aqiq,18.1768,38.2669,1,"Radio Dabanga",National,"On 9 February 2023, local residents staged a protest in Aqiq (Agig, Red Sea), denouncing the agreement between the Red Sea government and an investor on allocating an area of 49 km from the Red Sea coast for him to invest in fish farming, without the participation of people of the area. [size=no report]",0,1676309785,SDN
9835496,729,SUD19200,19200,"09 February 2023",2023,1,"Strategic developments","Change to group/activity","Government of Sudan (2019-)",,1,,,0,10,"Northern Africa",Sudan,"South Kordofan",Dilling,,Dilling,12.0509,29.6542,1,"Al Rakoba; Sudan News Agency",National,"Security measures: On 9 February 2023, Al-Kbashi (member of the Transitional Sovereignty Council) declared a state of emergency in Dilling (Dilling, South Kordofan), to achieve security and stability, in addition to gives the joint forces the right to arrest criminals, outlaws and other lawbreakers by exceptional orders.",0,1676309785,SDN
9835497,729,SUD19201,19201,"09 February 2023",2023,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,Khartoum,Omdurman,,"Um Badda",15.4126,32.3389,1,Twitter,"New media","On 9 February 2023, Resistance Committees staged a protest in Um Badda (Omdurman, Khartoum), in memory of demonstrators who were killed during the demonstrations against the military coup. [size=no report]",0,1676309785,SDN
9835509,729,SUD19213,19213,"09 February 2023",2023,1,Protests,"Peaceful protest","Protesters (Sudan)","Lawyers (Sudan)",6,,,0,60,"Northern Africa",Sudan,Khartoum,Omdurman,,"Um Badda",15.4126,32.3389,1,"Radio Dabanga",National,"On 9 February 2023, lawyers staged a protest in front of the Um Badda court in Um Badda (Omdurman, Khartoum), denouncing court's response delayed to a memorandum on assaulting a lawyer. [size=no report]",0,1676309785,SDN
9835510,729,SUD19214,19214,"09 February 2023",2023,1,"Violence against civilians",Attack,"Unidentified Communal Militia (Sudan)",,4,"Civilians (Sudan)","Labour Group (Sudan)",7,47,"Northern Africa",Sudan,"South Kordofan",Habila,,Habila,11.9414,30.0358,2,"Radio Dabanga",National,"On 9 February 2023, militiamen on two motorbikes shot at commercial vehicle coming from Al Salam market in Al Layona area [coded to Habila (Habila, South Kordofan). Three were wounded. The motive of the militia was unknown.",0,1676309785,SDN
